61537,0.059855044,0.11731588,9.332599,2024-03-03 10:53:45,
24770,0.14604631,-0.31603462,8.66701,2024-03-03 10:53:45,
1177,-2.9903579,-0.2801216,12.94066,2024-03-03 10:53:45,
41436,0.91458505,-0.46208093,22.625206,2024-03-03 10:53:45,
39782,1.4748282,-5.3606176,13.443442,2024-03-03 10:53:45,
27253,1.5921441,-0.5410896,-6.921637,2024-03-03 10:53:45,
47637,-0.016759412,-1.42455,-5.1355624,2024-03-03 10:53:46,
27372,-10.608707,-9.0476885,11.200075,2024-03-03 10:53:46,
14156,2.5306711,-7.417237,37.969646,2024-03-03 10:53:46,
37208,2.4899697,-14.314932,19.900604,2024-03-03 10:53:46,
17323,-0.7230489,-5.3247046,-6.5816603,2024-03-03 10:53:46,
33826,0.19153613,0.1436521,-7.1251445,2024-03-03 10:53:46,
59983,-3.2848446,-5.3342814,1.7621324,2024-03-03 10:53:47,
5973,-9.485827,-8.494628,25.646688,2024-03-03 10:53:47,
44679,1.2880806,-7.029376,30.164547,2024-03-03 10:53:47,
24571,2.504335,-10.201694,0.47165772,2024-03-03 10:53:47,
41103,0.4189853,-0.81163436,-8.166622,2024-03-03 10:53:47,
9125,-3.5170822,0.8619126,-1.5562311,2024-03-03 10:53:47,
56399,-4.8458643,0.7302315,14.403518,2024-03-03 10:53:47,
24804,1.3239936,0.22984336,18.710686,2024-03-03 10:53:48,
48718,2.5761611,0.15801731,9.653421,2024-03-03 10:53:48,
35100,-0.8738836,1.0079589,9.981427,2024-03-03 10:53:48,
61460,-0.20111294,0.41180268,10.01734,2024-03-03 10:53:48,
63712,-1.6208745,1.6041151,9.828198,2024-03-03 10:53:48,
